ham,symbol,unicode
hamflathand hamthumboutmod hamextfingeruo hampalml hambetween hampalmdl hamneck hamlrat hamclose hammoveuo hamsmallmod hamrepeatfromstart,address,e001 e00c e031 e03e e0e6 e03d e04f e059 e0d0 e091 e0c6 e0d8
hamfinger2345 hamthumboutmod hamextfingero hampalmu hamchest hamclose hamparbegin hamreplace hamfist hamthumbacrossmod hamstomach hamlrat hammoveil hamparend hamrepeatfromstart,advantage,e005 e00c e029 e038 e052 e0d0 e0e2 e0aa e000 e00d e053 e059 e08b e0e3 e0d8
hamsymmlr hamlargemod hamalternatingmotion hamflathand hamthumboutmod hamextfingerol hampalmu hamshoulders hamclose hamcircler hamrepeatfromstart,advise,e0e9 e0c7 e0dd e001 e00c e028 e038 e051 e0d0 e097 e0d8
hamflathand hamthumboutmod hamextfingeru hampalmd hamcheek hamlrbeside hammoved hamarcr hamlargemod hamreplace hamfist hamextfingero hampalml hamchest,africa,e001 e00c e020 e03c e049 e058 e084 e0bb e0c7 e0aa e000 e029 e03e e052
hamfinger2 hamextfingerr hampalmu hamchest hamlrat hamparbegin hammovel hamarcu hamlargemod hamreplace hampinch12open hammiddlefinger hamindexfinger hamdoublebent hamringfinger hamdoublehooked hampinky hamdoublehooked hamextfingeru hampalml hamparend,again,e002 e022 e038 e052 e059 e0e2 e086 e0ba e0c7 e0aa e008 e072 e071 e013 e073 e014 e074 e014 e020 e03e e0e3
hamflathand hamfingerstraightmod hamextfingeru hampalml hamshouldertop hamlrat hamclose hamnomotion hammoveu hamrepeatcontinueseveral,age,e001 e010 e020 e03e e050 e059 e0d0 e0af e080 e0db
hamsymmlr hamfist hamthumboutmod hamextfingerol hambetween hamextfingero hampalml hambetween hampalmd hamtouch hamchest hamclose hamplus hamsymmlr hamfinger23spread hamthumbacrossmod hamextfingeru hampalmd hamshouldertop hamclose hammoveu hammoved hamrepeatfromstart,agra,e0e9 e000 e00c e028 e0e6 e029 e03e e0e6 e03c e0d1 e052 e0d0 e0e7 e0e9 e004 e00d e020 e03c e050 e0d0 e080 e084 e0d8
hamfinger2 hamextfingerl hampalmd hamforehead hamlrat hamtouch hamplus hamparbegin hamfinger2 hamplus hamfinger2 hamparend hamparbegin hamextfingerl hampalmd hamplus hamextfingerur hampalmdr hamparend hamparbegin hamindexfinger hamfingertip hamplus hamindexfinger hamfingertip hamparend hamtouch hamshoulders,agreement,e002 e026 e03c e042 e059 e0d1 e0e7 e0e2 e002 e0e7 e002 e0e3 e0e2 e026 e03c e0e7 e021 e03b e0e3 e0e2 e071 e075 e0e7 e071 e075 e0e3 e0d1 e051
hamfinger2345 hamthumboutmod hammiddlefinger hamdoublehooked hamringfinger hamdoublehooked hamindexfinger hamdoublehooked hamextfingerul hambetween hamextfingero hampalmd hamhead hamlrat hammoveol hamplus hamfinger2345 hamthumboutmod hamfingerbendmod hamextfingero hampalmd hamlargemod,airport,e005 e00c e072 e014 e073 e014 e071 e014 e027 e0e6 e029 e03c e040 e059 e088 e0e7 e005 e00c e011 e029 e03c e0c7
hamfist hamthumbacrossmod hamextfingerl hampalml hamchest hamlrat hamparbegin hamreplace hamextfingero hamparend hamrepeatfromstartseveral,alarm,e000 e00d e026 e03e e052 e059 e0e2 e0aa e029 e0e3 e0d9
