__v,_id,ham,symbol,unicode
0,620275c703a2df5bb68995d1,hamflathand hamextfingerul hambetween hamextfingeru hampalmdr hamlrat hamshouldertop hamparbegin hammoveir hamreplace hamflathand hamfingerbendmod hamreplace hamflathand hamfingerhookmod hamextfingerul hambetween hamextfingero hampalmd hamparend hamstomach hamlrat,appear,e001 e027 e0e6 e020 e03b e059 e050 e0e2 e08d e0aa e001 e011 e0aa e001 e012 e027 e0e6 e029 e03c e0e3 e053 e059
0,620275c703a2df5bb68995d2,hamflathand hamextfingerul hambetween hamextfingeru hampalmdr hamlrat hamshouldertop hamparbegin hammoveir hamreplace hamflathand hamfingerbendmod hamreplace hamflathand hamfingerhookmod hamextfingerul hambetween hamextfingero hampalmd hamparend hamstomach hamlrat,appears,e001 e027 e0e6 e020 e03b e059 e050 e0e2 e08d e0aa e001 e011 e0aa e001 e012 e027 e0e6 e029 e03c e0e3 e053 e059
0,620275c703a2df5bb68995d3,hamfinger2345 hamthumboutmod hambetween hampinchall hamextfingero hampalmu hamchin hamclose hammoveu hamsmallmod hamrepeatfromstart,apple,e005 e00c e0e6 e007 e029 e038 e04d e0d0 e080 e0c6 e0d8
0,620275c703a2df5bb68995d4,hamparbegin hamfinger23 hamthumbacrossmod hamfingerbendmod hamplus hamflathand hamthumboutmod hamparend hamparbegin hamextfingerol hampalmd hamplus hamextfingeror hampalmu hamparend hamparbegin hampalm hamplus hamindexfinger hammiddlefinger hamfingertip hamparend hammovedo hamtouch,appointment,e0e2 e003 e00d e011 e0e7 e001 e00c e0e3 e0e2 e028 e03c e0e7 e02a e038 e0e3 e0e2 e067 e0e7 e071 e072 e075 e0e3 e090 e0d1
0,620275c703a2df5bb68995d5,hamfinger2 hamthumbacrossmod hamextfingerul hampalmdl hamstomach hamclose hamparbegin hamreplace hampinch12open hamextfingeru hampalml hamparend hamparbegin hamreplace hamfinger2 hamthumbacrossmod hamextfingerol hampalmd hamparend,april,e002 e00d e027 e03d e053 e0d0 e0e2 e0aa e008 e020 e03e e0e3 e0e2 e0aa e002 e00d e028 e03c e0e3
0,620275c703a2df5bb68995d6,hamfinger23 hamextfingeru hampalml hamtongue hamclose hamparbegin hammovedo hambetween hammoveo hamreplace hamextfingerdo hampalmdl hamparend,are,e003 e020 e03e e04b e0d0 e0e2 e090 e0e6 e089 e0aa e030 e03d e0e3
0,620275c703a2df5bb68995d7,hamfinger2345 hampinky hamextfingerol hampalmd hamchest hamcircleu hamrepeatfromstart,area,e005 e074 e028 e03c e052 e095 e0d8
0,620275c703a2df5bb68995d8,hamfinger2345 hamthumboutmod hammiddlefinger hamdoublehooked hamringfinger hamdoublehooked hamindexfinger hamdoublehooked hamextfingerul hambetween hamextfingero hampalmd hamhead hamlrat hammoveol hamlargemod,areoplane,e005 e00c e072 e014 e073 e014 e071 e014 e027 e0e6 e029 e03c e040 e059 e088 e0c7
0,620275c703a2df5bb68995d9,hamsymmlr hamfinger2 hamextfingerul hampalmdl hamchest hamcirclei hamsmallmod hamrepeatfromstartseveral,argue,e0e9 e002 e027 e03d e052 e093 e0c6 e0d9
0,620275c703a2df5bb68995da,hamfinger2345 hamthumboutmod hamextfingeru hampalmd hamchest hamclose hamcirclei hamsmallmod,around,e005 e00c e020 e03c e052 e0d0 e093 e0c6
